id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KGXY0,Greeley / Cloverly,US,CO,,KGXY,40.4374,-104.6332,1432.0,America/Denver,2006-01-01,2023-02-20,2006-01-01,2022-04-23,2007-01-01,2022-01-01
KGYB0,Giddings,US,TX,,KGYB,30.1693,-96.98,148.0,America/Chicago,2005-11-28,2023-02-20,2008-09-07,2022-04-24,2012-01-01,2022-01-01
KGYI0,Sherman / Pottsboro,US,TX,,KGYI,33.7141,-96.6737,228.0,America/Chicago,2006-02-02,2023-02-20,2006-02-14,2022-04-24,2014-01-01,2022-01-01
KGYY0,Gary / Clarke Junction,US,IN,,KGYY,41.6163,-87.4128,180.0,America/Chicago,2006-01-01,2023-02-20,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KHAI0,Three Rivers / Meadow Lane Village Mobile Home Park,US,MI,,KHAI,41.9597,-85.5934,251.0,America/Detroit,2006-10-24,2023-02-20,2006-10-25,2022-04-24,2006-01-01,2022-01-01
KHBR0,Hobart / Babbs,US,OK,,KHBR,34.9913,-99.0514,476.0,America/Chicago,1973-01-01,2023-02-20,1973-01-01,2022-04-23,1999-01-01,2022-01-01
KHBV0,Hebbronville / Las Lomitas B Colonia,US,TX,,KHBV,27.3496,-98.7369,202.0,America/Chicago,2006-01-02,2023-02-20,2006-05-31,2022-04-24,2016-01-01,2022-01-01
KHCA0,Big Spring / Holy Cross,US,TX,,KHCA,62.1883,-159.7749,21.0,America/Chicago,1947-01-01,1974-11-30,1947-01-02,1953-11-14,1947-01-01,1953-01-01
KHDC0,Hammond / Tallow Wood,US,LA,,KHDC,30.5217,-90.4184,14.0,America/Chicago,2006-04-21,2023-02-20,2006-06-03,2022-04-24,2013-01-01,2022-01-01
KHDN0,Hayden,US,CO,,KHDN,40.4812,-107.2177,2014.0,America/Denver,2005-01-01,2023-02-20,2005-01-01,2022-04-24,2005-01-01,2021-01-01
KHDO0,Hondo,US,TX,,KHDO,29.3597,-99.1767,284.0,America/Chicago,1942-09-15,2023-02-20,1942-09-16,2022-04-24,1943-01-01,2021-01-01
KHEQ0,Holyoke,US,CO,,KHEQ,40.5694,-102.2727,1137.0,America/Denver,2010-11-29,2023-02-20,2010-12-06,2022-04-24,2018-01-01,2022-01-01
KHHF0,Canadian,US,TX,,KHHF,35.8951,-100.4039,730.0,America/Chicago,2006-03-13,2023-02-20,2011-04-02,2022-04-24,2016-01-01,2022-01-01
KHHR0,Hawthorne / Cypave,US,CA,,KHHR,33.9228,-118.3352,20.0,America/Los_Angeles,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KHIB0,Hibbing-Chisholm / Wilpen,US,MN,,KHIB,47.3866,-92.839,413.0,America/Chicago,1973-01-01,2023-02-20,1973-01-01,2022-04-24,1973-01-01,2022-01-01
KHJO0,Hanford / Shell,US,CA,,KHJO,36.3167,-119.6277,73.0,America/Los_Angeles,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KHLC0,Hill City,US,KS,,KHLC,39.3802,-99.8315,682.0,America/Chicago,1973-01-01,2023-02-20,1996-05-18,2022-04-23,2005-01-01,2021-01-01
KHNB0,Huntingburg / Johnsburg,US,IN,,KHNB,38.249,-86.9537,161.0,America/Indiana/Vincennes,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KHOB0,Hobbs,US,NM,,KHOB,32.6875,-103.217,1116.0,America/Denver,1942-11-01,2023-02-20,1942-11-02,2022-04-24,1943-01-01,2022-01-01
KHPN0,White Plains / Sarosca Farm Estates,US,NY,,KHPN,41.0669,-73.7076,134.0,America/New_York,1973-01-01,2023-02-20,1973-01-02,2022-04-24,1974-01-01,2021-01-01
KHQM0,Hoquiam / Aberdeen / Grays Harbor City,US,WA,,KHQM,46.9712,-123.9366,6.0,America/Los_Angeles,1991-01-08,2023-02-20,2001-03-02,2022-04-24,2001-01-01,2022-01-01
KHQZ0,Mesquite / Markout,US,TX,,KHQZ,32.747,-96.5304,136.0,America/Chicago,2006-01-29,2023-02-20,2010-05-02,2022-04-24,2018-01-01,2022-01-01
KHRL0,Harlingen / Santa Elena Colonia,US,TX,,KHRL,26.2285,-97.6544,11.0,America/Chicago,1942-03-01,2023-02-20,1942-03-02,2022-04-24,1942-01-01,2021-01-01
KHRX0,Hereford / Joel,US,TX,,KHRX,34.8607,-102.3259,1155.0,America/Chicago,2007-06-04,2023-02-20,2011-02-28,2022-04-24,2014-01-01,2022-01-01
KHSE0,Hatteras / Frisco,US,NC,,KHSE,35.2328,-75.6178,5.0,America/New_York,1996-01-01,2023-02-20,1996-01-01,2022-04-24,1996-01-01,2021-01-01
KHUM0,Houma / Presquille,US,LA,,KHUM,29.5665,-90.6604,3.0,America/Chicago,2005-01-01,2023-02-20,2010-05-15,2022-04-24,2020-01-01,2021-01-01
KHUT0,Hutchinson / Obeeville,US,KS,,KHUT,38.0655,-97.8606,470.0,America/Chicago,1945-02-01,2023-02-20,1945-02-02,2022-04-24,1945-01-01,2022-01-01
KHWV0,Shirley,US,NY,,KHWV,40.8219,-72.8669,25.0,America/New_York,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
